TFLite_operator,NNG Operator,SRAM Usage,Peak%,Op Cycles,Network%,NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network%,Util%,Name
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,256416,16.985511547307393,43136.0,0.8603020351001476,43136.0,28224.0,0.0,0.0,0.0,1016064,0.3344240663994813,9.201131305637983,functional_2_1/mobilenetv2_1.00_224_1/block_11_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_11_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_11_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/block_11_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/block_11_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/block_11_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,194384,12.876387107714809,57178.0,1.140354918466159,57178.0,38640.0,0.0,0.0,0.0,10838016,3.5671900415944675,74.04246388471091,functional_2_1/mobilenetv2_1.00_224_1/block_11_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_11_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_11_project_BN_1/batchnorm/sub
ADD,Add,37632,2.492819365984462,14112.0,0.28144895955427673,14112.0,7056.0,0.0,0.0,0.0,0,0.0,0.0,functional_2_1/mobilenetv2_1.00_224_1/block_11_add_1/Add
CONV_2D,Conv2DBias,158448,10.495914192748353,52208.0,1.0412335090993254,52208.0,38304.0,0.0,0.0,0.0,10838016,3.5671900415944675,81.09102053325161,functional_2_1/mobilenetv2_1.00_224_1/block_12_expand_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_12_expand_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_12_expand_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_12_expand_BN_1/batchnorm/sub
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,256416,16.985511547307393,43136.0,0.8603020351001476,43136.0,28224.0,0.0,0.0,0.0,1016064,0.3344240663994813,9.201131305637983,functional_2_1/mobilenetv2_1.00_224_1/block_12_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_12_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_12_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/block_12_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/block_12_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/block_12_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,194176,12.862608769382414,57178.0,1.140354918466159,57178.0,38640.0,0.0,0.0,0.0,10838016,3.5671900415944675,74.04246388471091,functional_2_1/mobilenetv2_1.00_224_1/block_12_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_12_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_12_project_BN_1/batchnorm/sub
ADD,Add,37632,2.492819365984462,14112.0,0.28144895955427673,14112.0,7056.0,0.0,0.0,0.0,0,0.0,0.0,functional_2_1/mobilenetv2_1.00_224_1/block_12_add_1/Add
CONV_2D,Conv2DBias,158256,10.483195726595373,51760.0,1.0322986214944276,51760.0,38304.0,0.0,0.0,0.0,10838016,3.5671900415944675,81.79289026275116,functional_2_1/mobilenetv2_1.00_224_1/block_13_expand_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_13_expand_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_13_expand_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_13_expand_BN_1/batchnorm/sub
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,152944,10.131318163029539,17640.0,0.35181119944284595,14139.0,17640.0,0.0,0.0,0.0,254016,0.08360601659987033,5.625,functional_2_1/mobilenetv2_1.00_224_1/block_13_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_13_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_13_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/block_13_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/block_13_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/block_13_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,106336,7.043910504393171,84079.0,1.676866997616499,84079.0,11564.0,0.0,0.0,0.0,4515840,1.4863291839976946,20.98026855695239,functional_2_1/mobilenetv2_1.00_224_1/block_13_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_13_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_13_project_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,76016,5.035452724401438,157235.0,3.135886278026977,157235.0,20580.0,0.0,0.0,0.0,7526400,2.4772153066628246,18.698127007345693,functional_2_1/mobilenetv2_1.00_224_1/block_14_expand_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_14_expand_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_14_expand_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_14_expand_BN_1/batchnorm/sub
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,108512,7.188053120793632,23269.0,0.46407566892491964,23269.0,11760.0,0.0,0.0,0.0,423360,0.1393433609997839,7.107095276977954,functional_2_1/mobilenetv2_1.00_224_1/block_14_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_14_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_14_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/block_14_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/block_14_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/block_14_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,177696,11.770940424584795,147656.0,2.9448432236356497,147656.0,18620.0,0.0,0.0,0.0,7526400,2.4772153066628246,19.911144823102344,functional_2_1/mobilenetv2_1.00_224_1/block_14_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_14_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_14_project_BN_1/batchnorm/sub
